,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
0,-508137.2149247468,-1191300.9543118842,0.0,254.7414825778245,186.6911046639223,9.368918660790337e-07,96.57907966105668,4.451813614457652,1415.2171565427716,754.5537770459796,660.6633794967915,1436.1853825202818,1436.2268642899212,0.004817927599723667
1,-508146.98290675704,-1191298.7758315916,10.007960303004584,254.74190908914883,186.73685158090575,9.4296224198148e-07,96.60309654741809,4.446813556670901,1415.15017487609,754.4140732390497,660.7361016370404,1436.2248148737729,1436.20824502355,0.004822489314462598
2,-508156.7541977129,-1191296.612241363,20.015920606009168,254.7423367952831,186.78267036254087,9.489708821281729e-07,96.62718625682464,4.441797681714105,1415.084630603812,754.2744834503943,660.8101471534178,1436.1892856267814,1436.1884487092514,0.004827382200906514
3,-508166.5287051943,-1191294.463228886,30.023880909013748,254.74276562461972,186.8285605661411,9.549188538880573e-07,96.65134680823502,4.4367667776149755,1415.0208564588595,754.135187688269,660.88566877059,1436.168470411918,1436.1617704301912,0.00483262162752698
4,-508176.30627750844,-1191292.3282038886,40.031841212018335,254.74319549937906,186.87451986488327,9.608081023748285e-07,96.67557593627747,4.431721742170315,1414.959208262116,753.9963648351517,660.9628434269644,1436.0824393635878,1436.1236874643773,0.00483822223266583
5,-508186.086788515,-1191290.2066812885,50.03980151502293,254.7436263437863,186.92054665616675,9.666401966889615e-07,96.69987145789987,4.426663436798945,1414.8999824131035,753.8581660082011,661.041816404902,1436.0546386596864,1436.0725194176046,0.004844198124861682
6,-508195.87009394274,-1191288.0980822823,60.047761818027496,254.74405807985,186.96663870787964,9.724169757637705e-07,96.72423108526992,4.421592762396714,1414.8432404668843,753.7206653904708,661.1225750764132,1436.046117784245,1436.0141514753714,0.004850562737490099
7,-508205.6560448632,-1191286.0017948516,70.05572212103209,254.74449062866393,187.0127935701178,9.781403486127723e-07,96.74865248494004,4.4165106362227196,1414.7889356471846,753.5839234072088,661.2050122399754,1435.945874833376,1435.9568243370732,0.004857328845492332
8,-508215.4444966643,-1191283.917215997,80.06368242403667,254.74492391130627,187.0590088606652,9.838121572005013e-07,96.77313331777819,4.411417975764506,1414.7369470959936,753.4479995789753,661.2889475170182,1435.9007446632536,1435.9083470220032,0.00486450858360794
9,-508225.2352875468,-1191281.8436507094,90.07164272704125,254.74535784671727,187.10528157947607,9.894344981387573e-07,96.79767114735097,4.406315737350663,1414.6870843167442,753.3129520598359,661.3741322569078,1435.8754428882025,1435.8693075749295,0.0048721133497538925
10,-508235.02826590923,-1191279.780440793,100.07960303004586,254.74579235442448,187.15160898106984,9.950093085725607e-07,96.8222635591681,4.401204866913106,1414.6390919650282,753.1788382576184,661.4602537074097,1435.8138005233445,1435.8357973412885,0.004880153898095404
11,-508244.8232653684,-1191277.7268470488,110.08756333305044,254.7462273520662,187.19798777532648,1.0005387401100816e-06,96.84690805415454,4.396086345094382,1414.5926548845118,753.0457142887511,661.5469405957604,1435.7783784812134,1435.8034521838786,0.004888640227213356
