,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
1977,-527420.0527151725,-1196811.3234665259,19776.834459561323,256.3824210882673,365.30412110523577,-0.006105821485814046,179.0146492480963,-20.67145136251317,1222.4470598172459,569.418630640792,653.0284291764541,1227.4128363954642,1227.384783341276,0.02554713456967338
1978,-527427.7963565545,-1196817.6563297794,19786.837916546432,256.3843601972975,365.41480397150434,-0.006244045122544949,179.13530643247546,-20.69916667778753,1222.2806998852789,569.3479611678611,652.9327387174177,1227.2707372420516,1227.2247216115954,0.02552615011846265
1979,-527435.5307264738,-1196824.0005122088,19796.84137353154,256.3863084922364,365.525717841394,-0.00637886505418076,179.25673253149543,-20.726964562615503,1222.1074238871727,569.2786531810102,652.828770706162,1227.0731824038553,1227.064025998365,0.025504682962150273
1980,-527443.2558191515,-1196830.3559872934,19806.84483051665,256.38826604348077,365.63686265289255,-0.006510087208574102,179.37893321557345,-20.7548455111474,1221.9276827766494,569.2107342396104,652.7169485370392,1226.8830198560806,1226.9031776711993,0.025482870912063083
1981,-527450.9716297978,-1196836.7227274342,19816.84828750176,256.3902329193704,365.7482383154988,-0.006637515773014718,179.501914021845,-20.78280999264085,1221.7422222963066,569.1442241225537,652.597998173753,1226.7285644886397,1226.7367446011792,0.025460855480285396
1982,-527458.6781546375,-1196843.100703935,19826.851744486867,256.3922091861351,365.8598447098631,-0.006760953269181378,179.62568035012157,-20.8108584509333,1221.5518478675892,569.0791412752286,652.4727065923606,1226.5436731582538,1226.5597030508463,0.025438781467576714
1983,-527466.3753909789,-1196849.489886931,19836.855201471983,256.39419490784064,365.9716816864662,-0.006880200630717312,179.75023745879645,-20.83899130391257,1221.3573179031614,569.0155064804879,652.3418114226733,1226.3728035923757,1226.3719640653687,0.025416796530704226
1984,-527474.0633373297,-1196855.8902452656,19846.858658457088,256.396190146337,366.0837490633155,-0.006995057283259536,179.87559046070925,-20.867208942988192,1221.1593300936347,568.9533430371722,652.205987056462,1226.2183126505456,1226.178646690027,0.025395050729225734
1985,-527481.741993561,-1196862.3017463086,19856.8621154422,256.3981949612053,366.196046622575,-0.0071053212267035174,180.0017443189576,-20.895511732561047,1220.9585103606132,568.892676946817,652.0658334137955,1225.980155482265,1225.98630685583,0.02537369605177896
1986,-527489.4113611197,-1196868.7243557188,19866.86557242731,256.4002094097067,366.3085741061604,-0.007210789119418153,180.12870384264474,-20.923900009488687,1220.7554042915797,568.8335371172082,651.9218671743714,1225.787094394771,1225.7984098853387,0.025352885922008635
1987,-527497.0714432932,-1196875.158037151,19876.869029412417,256.40223354673026,366.4213312102866,-0.007311256364186066,180.256473682615,-20.95237408255828,1220.550471071114,568.7759555826983,651.7745154884154,1225.6071275649174,1225.617125190421,0.02533277468423618
1988,-527504.7222455278,-1196881.6027518995,19886.872486397526,256.4042674247421,366.53431757884914,-0.0074065171954904785,180.38505832710692,-20.980934231950982,1220.344079922564,568.7199677412474,651.6241121813163,1225.398225164644,1225.4444202008651,0.02531351271298043
1989,-527512.3637767008,-1196888.05845742,19896.875943382638,256.40631109373675,366.64753277603336,-0.007496364770606082,180.51446209644303,-21.009580708589834,1220.1365090690028,568.6656125757952,651.4708964932071,1225.2586471462866,1225.283003879666,0.02529518798111585
1990,-527519.9957848636,-1196894.5254187954,19906.87940036775,256.4083646004214,366.76098204790526,-0.007580590628631413,180.64468940872217,-21.03831376797335,1219.9279486549174,568.6129424771626,651.3150061777544,1225.0869803663861,1225.1346503606746,0.0252778391170447
1991,-527527.6181892555,-1196901.0036968156,19916.88285735285,256.4104279893438,366.87466685891536,-0.0076589864588450665,180.77574432414104,-21.06713361138318,1219.718503439899,568.5620080422369,651.1564953976617,1224.9497628666356,1224.9988372368207,0.025261494067258045
1992,-527535.2314437764,-1196907.492724588,19926.886314337964,256.4125013040013,366.9885770482945,-0.007731343913771806,180.90763018817242,-21.096040342011108,1219.508243302349,568.5128468445686,650.9953964577802,1224.8950061866396,1224.8717253234533,0.025246169169046505
1993,-527542.8356278,-1196913.992378784,19936.889771323076,256.41458458415576,367.1027106472928,-0.007797452571253409,181.04035055474594,-21.125034082323026,1219.297272094371,568.4655180866345,650.8317540077362,1224.7425904425663,1224.7467692212515,0.025231875879926674
1994,-527550.4308401485,-1196920.5025143174,19946.89322830818,256.4166778668922,367.2170652737608,-0.007857101172950876,181.1739087762429,-21.154114921574536,1219.0857012019349,568.4200869053855,650.665614296549,1224.6078866106345,1224.6184057148928,0.025218617909931542
1995,-527558.0171993603,-1196927.0229642643,19956.89668529329,256.41878118657024,367.33163813022617,-0.007910077642005084,181.30830800004952,-21.183282915440007,1218.873657860984,568.3766244328817,650.497033428102,1224.4711114247423,1224.4848477687642,0.0252063914071266
1996,-527565.5948438919,-1196933.5535398528,19966.900142278402,256.42089457477636,367.4464260032452,-0.007956169096826409,181.4435511651581,-21.212538085638077,1218.6612948853149,568.3352080275937,650.326086857721,1224.353181711747,1224.347122754571,0.025195185164784036
1997,-527573.1639322559,-1196940.094030516,19976.903599263507,256.4230180602725,367.561425263993,-0.007995161861245693,181.5796409988207,-21.241880419554573,1218.448797286789,568.2959214943262,650.1528757924623,1224.1691005439798,1224.2077057067709,0.025184980850085602
1998,-527580.7246430942,-1196946.6442040126,19986.90705624862,256.42515166894725,367.67663187016336,-0.008026841471298457,181.71658001328444,-21.27130986986945,1218.236385769743,568.2588552925926,649.97753047715,1224.0370019269255,1224.0681613051659,0.02517575325424299
